time,active_events
0.000,0
0.100,0
0.200,0
0.300,0
0.400,0
0.500,0
0.600,0
0.700,0
0.800,0
0.900,0
1.000,0
1.100,0
1.200,0
1.300,0
1.400,0
1.500,0
1.600,0
1.700,0
1.800,0
1.900,0
2.000,0
2.100,0
2.200,0
2.300,0
2.400,0
2.500,0
2.600,0
2.700,0
2.800,0
2.900,0
3.000,0
3.100,0
3.200,0
3.300,0
3.400,0
3.500,0
3.600,0
3.700,0
3.800,0
3.900,0
4.000,0
4.100,0
4.200,0
4.300,0
4.400,0
4.500,0
4.600,0
4.700,0
4.800,0
4.900,0
5.000,0
5.100,0
5.200,0
5.300,0
5.400,0
5.500,0
5.600,0
5.700,0
5.800,0
5.900,0
6.000,0
6.100,0
6.200,0
6.300,0
6.400,0
6.500,0
6.600,0
6.700,0
6.800,0
6.900,0
7.000,0
7.100,0
7.200,0
7.300,0
7.400,0
7.500,0
7.600,0
7.700,0
7.800,0
7.900,0
8.000,0
8.100,0
8.200,0
8.300,0
8.400,0
8.500,0
8.600,0
8.700,0
8.800,0
8.900,0
9.000,0
9.100,0
9.200,0
9.300,0
9.400,0
9.500,0
9.600,0
9.700,0
9.800,0
9.900,0
10.000,0
10.100,0
10.200,0
10.300,0
10.400,0
10.500,0
10.600,0
10.700,0
10.800,0
10.900,0
11.000,0
11.100,0
11.200,0
11.300,0
11.400,0
11.500,0
11.600,0
11.700,0
11.800,0
11.900,0
12.000,0
12.100,0
12.200,0
12.300,0
12.400,0
12.500,0
12.600,0
12.700,0
12.800,0
12.900,0
13.000,0
13.100,0
13.200,0
13.300,0
13.400,0
13.500,0
13.600,0
13.700,0
13.800,0
13.900,0
14.000,0
14.100,0
14.200,0
14.300,0
14.400,0
14.500,0
14.600,0
14.700,0
14.800,0
14.900,0
15.000,0
15.100,0
15.200,0
15.300,0
15.400,0
15.500,0
15.600,0
15.700,0
15.800,0
15.900,0
16.000,0
16.100,0
16.200,0
16.300,0
16.400,0
16.500,0
16.600,0
16.700,0
16.800,0
16.900,0
17.000,0
17.100,0
17.200,0
17.300,0
17.400,0
17.500,0
17.600,0
17.700,0
17.800,0
17.900,0
18.000,0
18.100,0
18.200,0
18.300,0
18.400,0
18.500,0
18.600,0
18.700,0
18.800,0
18.900,0
19.000,0
19.100,0
19.200,0
19.300,0
19.400,0
19.500,0
19.600,0
19.700,0
19.800,0
19.900,0
20.000,0
20.100,0
20.200,0
20.300,0
